Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Greece,1997,126353.8,10629267,115486.24,423540,67490,94710,546330,307370,78610,392,9,2,3,51,7
Spain,1997,520831,39971329,301830.35,1323220,169860,248920,1625110,973310,469310,754,23,10,16,154,32
France,1997,1282409.5,59726386,514393.43,1780120,372260,481980,783280,2299600,647800,1139,16,16,17,213,180
Croatia,1997,21332.1,4533028,17153.73,90210,39110,50660,77210,109600,45200,190,1,0,1,12,4
Italy,1997,1096302,56876364,518838.31,1838090,212390,269980,1138030,1961950,456020,1706,10,14,25,95,40
Cyprus,1997,8414.2,666313,7161.79,21320,2600,4920,43980,13340,9730,25,0,0,0,8,0
Latvia,1997,5751.2,2444912,-1161,48620,28920,33590,43970,61150,15370,162,1,0,14,9,2
Lithuania,1997,8922.8,3588013,22610.71,81690,8320,9970,70120,84240,38620,4,0,0,0,13,1
Luxembourg,1997,17266.5,416850,8872.75,35260,5180,5890,5980,18850,5920,6,0,0,Not Available,Not Available,Not Available
Hungary,1997,41741.4,10301247,75345.7,197400,52400,74400,625630,193380,78000,97,2,2,3,19,11
Malta,1997,3346.8,381405,2811.58,10890,980,1250,10280,3450,1950,0,0,0,0,5,0
Netherlands,1997,367861.6,15567107,238357.21,521010,39290,53940,109510,372720,212820,55,3,1,1,56,6
Austria,1997,187853.7,7964966,62976.64,202250,24960,38630,40400,224520,62970,19,1,1,0,0,0
Poland,1997,140649.2,38639341,414192.84,1055390,225580,395310,1921130,898050,370820,553,11,13,56,164,50
Portugal,1997,103306.6,10084196,60382.81,273310,73460,110730,275060,244450,73550,327,3,3,3,100,13
Romania,1997,31450.5,22581862,151082.47,375590,129750,168280,614040,321160,230670,348,5,2,35,75,22
Slovenia,1997,18320.7,1986989,13932.14,75990,13750,16790,119990,62820,20700,10,1,0,1,3,1
Slovakia,1997,19331.1,5378932,42560.86,108870,40530,49420,116990,159440,41430,51,1,2,2,3,4
Finland,1997,112033.4,5132320,60833.62,271580,30950,49680,100670,195530,35980,32,2,1,13,38,30
Sweden,1997,236645.7,8844499,32771.62,234160,38290,57710,60250,252520,62440,24,1,1,1,25,9
Norway,1997,142336.6,4392714,41329.8,239030,47810,57500,31190,404280,27900,13,1,1,3,0,13
Switzerland,1997,260529,7081346,48523.84,105770,12920,20640,21400,185020,62130,132,2,3,Not Available,Not Available,Not Available
